x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
21.875,0.278678,0.2775,0.278687,0.277493
22,0.278631,0.2775,0.27864,0.277493
22.125,0.278584,0.2775,0.278592,0.277492
22.25,0.278537,0.2775,0.278545,0.277491
22.375,0.278489,0.2775,0.278497,0.277491
22.5,0.278442,0.2775,0.27845,0.27749
22.625,0.278395,0.2775,0.278402,0.277489
22.75,0.278348,0.2775,0.278355,0.277489
22.875,0.278301,0.2775,0.278307,0.277488
23,0.278254,0.2775,0.27826,0.277487
23.125,0.278207,0.2775,0.278212,0.277487
23.25,0.27816,0.2775,0.278165,0.277486
23.375,0.278113,0.2775,0.278117,0.277485
23.5,0.278065,0.2775,0.27807,0.277485
23.625,0.278018,0.2775,0.278022,0.277484
23.75,0.277971,0.2775,0.277975,0.277483
23.875,0.277924,0.2775,0.277927,0.277483
24,0.277877,0.2775,0.27788,0.277482
24.125,0.27783,0.2775,0.277832,0.277481
24.25,0.277783,0.2775,0.277785,0.277481
24.375,0.277736,0.2775,0.277737,0.27748
24.5,0.277689,0.2775,0.27769,0.277479
24.625,0.277641,0.2775,0.277642,0.277479
24.75,0.277594,0.2775,0.277595,0.277478
24.875,0.277547,0.2775,0.277547,0.277477
25,0.2775,0.2775,0.2775,0.277477
25.125,0.277453,0.2775,0.277452,0.277476
25.25,0.277406,0.2775,0.277405,0.277475
25.375,0.277359,0.2775,0.277358,0.277475
25.5,0.277311,0.2775,0.27731,0.277474
25.625,0.277264,0.2775,0.277263,0.277473
25.75,0.277217,0.2775,0.277215,0.277473
25.875,0.27717,0.2775,0.277168,0.277472
26,0.277123,0.2775,0.27712,0.277471
26.125,0.277076,0.2775,0.277073,0.277471
26.25,0.277029,0.2775,0.277025,0.27747
26.375,0.276982,0.2775,0.276978,0.277469
26.5,0.276935,0.2775,0.27693,0.277469
26.625,0.276887,0.2775,0.276883,0.277468
26.75,0.27684,0.2775,0.276835,0.277467
26.875,0.276793,0.2775,0.276788,0.277467
27,0.276746,0.2775,0.27674,0.277466
27.125,0.276699,0.2775,0.276693,0.277465
27.25,0.276652,0.2775,0.276645,0.277465
27.375,0.276605,0.2775,0.276598,0.277464
27.5,0.276558,0.2775,0.27655,0.277463
27.625,0.276511,0.2775,0.276503,0.277463
