"x","head just below temp.layer","head just above temp.layer","head at z=0"
35.375,0.273559,0.277424,0.273558
35.5,0.273511,0.277424,0.27351
35.625,0.273464,0.277423,0.273463
35.75,0.273416,0.277423,0.273415
35.875,0.273369,0.277422,0.273367
36,0.273321,0.277421,0.27332
36.125,0.273274,0.277421,0.273273
36.25,0.273226,0.27742,0.273225
36.375,0.273179,0.27742,0.273178
36.5,0.273131,0.277419,0.27313
36.625,0.273084,0.277419,0.273082
36.75,0.273037,0.277418,0.273035
36.875,0.272989,0.277418,0.272988
37,0.272942,0.277417,0.27294
37.125,0.272894,0.277417,0.272893
37.25,0.272847,0.277416,0.272845
37.375,0.272799,0.277416,0.272797
37.5,0.272752,0.277415,0.27275
37.625,0.272704,0.277415,0.272702
37.75,0.272657,0.277414,0.272655
37.875,0.272609,0.277414,0.272608
38,0.272562,0.277413,0.27256
38.125,0.272514,0.277413,0.272512
38.25,0.272467,0.277412,0.272465
38.375,0.272419,0.277412,0.272417
38.5,0.272372,0.277411,0.27237
38.625,0.272324,0.277411,0.272323
38.75,0.272277,0.27741,0.272275
38.875,0.272229,0.27741,0.272227
39,0.272182,0.277409,0.27218
39.125,0.272134,0.277409,0.272132
39.25,0.272087,0.277408,0.272085
39.375,0.272039,0.277408,0.272038
39.5,0.271992,0.277407,0.27199
39.625,0.271944,0.277407,0.271942
39.75,0.271897,0.277406,0.271895
39.875,0.271849,0.277406,0.271847
40,0.271802,0.277406,0.2718
40.125,0.271754,0.277405,0.271753
40.25,0.271707,0.277405,0.271705
40.375,0.271659,0.277404,0.271657
40.5,0.271612,0.277404,0.27161
40.625,0.271565,0.277403,0.271562
40.75,0.271517,0.277403,0.271515
40.875,0.27147,0.277403,0.271468
41,0.271422,0.277402,0.27142
41.125,0.271375,0.277402,0.271372
41.25,0.271327,0.277401,0.271325
41.375,0.27128,0.277401,0.271277
41.5,0.271232,0.277401,0.27123
41.625,0.271185,0.2774,0.271183
41.75,0.271137,0.2774,0.271135
41.875,0.27109,0.277399,0.271087
42,0.271042,0.277399,0.27104
42.125,0.270995,0.277399,0.270992
42.25,0.270947,0.277398,0.270945
42.375,0.2709,0.277398,0.270898
42.5,0.270852,0.277398,0.27085
42.625,0.270805,0.277397,0.270802
42.75,0.270757,0.277397,0.270755
42.875,0.27071,0.277396,0.270707
43,0.270662,0.277396,0.27066
43.125,0.270615,0.277396,0.270613
43.25,0.270567,0.277395,0.270565
43.375,0.27052,0.277395,0.270517
43.5,0.270472,0.277395,0.27047
43.625,0.270425,0.277394,0.270422
43.75,0.270377,0.277394,0.270375
43.875,0.27033,0.277394,0.270328
44,0.270283,0.277394,0.27028
44.125,0.270235,0.277393,0.270232
44.25,0.270188,0.277393,0.270185
44.375,0.27014,0.277393,0.270137
44.5,0.270093,0.277392,0.27009
44.625,0.270045,0.277392,0.270043
44.75,0.269998,0.277392,0.269995
44.875,0.26995,0.277392,0.269947
45,0.269903,0.277391,0.2699
45.125,0.269855,0.277391,0.269852
45.25,0.269808,0.277391,0.269805
45.375,0.269761,0.277391,0.269758
45.5,0.269713,0.27739,0.26971
45.625,0.269666,0.27739,0.269662
45.75,0.269618,0.27739,0.269615
45.875,0.269571,0.27739,0.269567
46,0.269524,0.277389,0.26952
46.125,0.269476,0.277389,0.269473
46.25,0.269429,0.277389,0.269425
46.375,0.269382,0.277389,0.269377
46.5,0.269335,0.277389,0.26933
46.625,0.269288,0.277388,0.269282
46.75,0.269241,0.277388,0.269235
46.875,0.269194,0.277388,0.269188
47,0.269147,0.277388,0.26914
47.125,0.269101,0.277388,0.269093
47.25,0.269054,0.277387,0.269045
47.375,0.269008,0.277387,0.268997
47.5,0.268962,0.277387,0.26895
47.625,0.268916,0.277387,0.268903
47.75,0.268871,0.277387,0.268855
47.875,0.268826,0.277387,0.268808
48,0.268782,0.277387,0.26876
48.125,0.268738,0.277387,0.268712
48.25,0.268695,0.277386,0.268665
48.375,0.268653,0.277386,0.268618
48.5,0.268612,0.277386,0.26857
48.625,0.268572,0.277386,0.268523
48.75,0.268534,0.277386,0.268475
48.875,0.268498,0.277386,0.268427
49,0.268464,0.277386,0.26838
49.125,0.268433,0.277386,0.268333
49.25,0.268405,0.277386,0.268285
49.375,0.26838,0.277386,0.268238
49.5,0.268359,0.277386,0.26819
49.625,0.268343,0.277386,0.268142
49.75,0.268332,0.277386,0.268095
49.875,0.268326,0.277386,0.268048
