"L/H","Q_total_numerical","Q_total_analytical","Q_total_error","Q_vw_numerical","Q_vw_analytical","Q_vw_error","Q_til_numerical","Q_til_analytical","Q_til_error","dil_numerical","dil_analytical","dil_error"
15.5,0.0095902,0.00949694,0.972498,0.00949834,0.00949694,0.0147181,9.45E-05,9.86E-05,-4.38537,100.558,96.3192,4.21523
16,0.00959544,0.00949687,1.02729,0.00949851,0.00949687,0.0172729,0.000100797,0.000105062,-4.23162,94.234,90.3926,4.0764
16.5,0.0096011,0.00949679,1.08648,0.00949833,0.00949679,0.0162103,0.00010734,0.000111731,-4.09075,88.4879,84.9966,3.94556
17,0.00960789,0.0094967,1.15725,0.00949815,0.0094967,0.0151778,0.000114087,0.000118606,-3.961,83.2538,80.0696,3.82468
17.5,0.00961339,0.00949662,1.21475,0.00949786,0.00949662,0.0131464,0.000121038,0.000125685,-3.83943,78.4702,75.5589,3.71013
18,0.00962177,0.00949652,1.30165,0.00949803,0.00949652,0.0158481,0.000128193,0.00013297,-3.72648,74.0919,71.4188,3.60788
18.5,0.00962631,0.00949643,1.34915,0.00949783,0.00949643,0.0147054,0.000135543,0.000140459,-3.6272,70.0724,67.6098,3.51443
19,0.0096343,0.00949634,1.43194,0.00949783,0.00949634,0.0157124,0.000143107,0.000148154,-3.52672,66.3685,64.0976,3.42175
19.5,0.00964498,0.00949624,1.54212,0.009498,0.00949624,0.018512,0.000150864,0.000156055,-3.44035,62.9572,60.8521,3.34383
20,0.00964846,0.00949615,1.57858,0.00949803,0.00949615,0.0197683,0.000158833,0.00016416,-3.35381,59.7988,57.8469,3.26411
20.5,0.0096607,0.00949605,1.70426,0.00949801,0.00949605,0.0206166,0.000166997,0.000172471,-3.27777,56.8754,55.059,3.1937
21,0.00966936,0.00949596,1.79329,0.00949817,0.00949596,0.0233105,0.000175373,0.000180986,-3.20109,54.16,52.4678,3.12439
21.5,0.00967593,0.00949586,1.86095,0.00949824,0.00949586,0.0250258,0.000183946,0.000189707,-3.13233,51.6361,50.0553,3.06146
22,0.0096855,0.00949577,1.95899,0.00949826,0.00949577,0.0262325,0.000192724,0.000198634,-3.06629,49.2842,47.8054,3.00052
